Product#,Sub-Kit PN,CAS#,ComponentName,"WeightConversion",% (w/w),"毒化物
Toxic",關注化學物質 Concerned Chemical Substances,優先化學品Priority substance,管制性化學品Controlled,先驅化學品Precurosr,新化學物質New Chemical,空汙申請ODS,既有化學物質Existing Chemical ,備註,備註2,,,,,,,,,,,,,
DWM-583-1,,156-59-2,"cis-1,2-dichloroethene",0.0253,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,75-35-4,"1,1-dichloroethene",0.0253,% (w/w),N 4類，限值25%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,87-68-3,hexachlorobutadiene,0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,630-20-6,"1,1,1,2-Tetrachloroethane",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,79-34-5,Acetylene tetrachloride,0.0253,% (w/w),N 4類，限值1%,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,87-61-6,"1,2,3-trichlorobenzene",0.0253,% (w/w),N,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,96-18-4,"1,2,3-trichloropropane",0.0253,% (w/w),N 2類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,120-82-1,"1,2,4-trichlorobenzene",0.0253,% (w/w),N 1類，限值1%,N,N,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,95-47-6,"1,2-Dimethylbenzene",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
DWM-583-1,,108-38-3,"1,3-Dimethylbenzene",0.0253,% (w/w),N,N,N 2目少量,N,N,N,N,N 少量,,,,,,,,,,,,,,,
